id,image,mask
0,images/0.png,boxes/0.png
1,images/1.png,boxes/1.png
2,images/2.png,boxes/2.png
3,images/3.png,boxes/3.png
4,images/4.png,boxes/4.png
5,images/5.png,boxes/5.png
6,images/6.png,boxes/6.png
7,images/7.png,boxes/7.png
8,images/8.png,boxes/8.png
9,images/9.png,boxes/9.png
10,images/10.png,boxes/10.png
11,images/11.png,boxes/11.png
12,images/12.png,boxes/12.png
13,images/13.png,boxes/13.png
14,images/14.png,boxes/14.png
15,images/15.png,boxes/15.png
16,images/16.png,boxes/16.png
17,images/17.png,boxes/17.png
18,images/18.png,boxes/18.png
19,images/19.png,boxes/19.png
20,images/20.png,boxes/20.png
21,images/21.png,boxes/21.png
22,images/22.png,boxes/22.png
23,images/23.png,boxes/23.png
24,images/24.png,boxes/24.png
25,images/25.png,boxes/25.png
26,images/26.png,boxes/26.png
27,images/27.png,boxes/27.png
28,images/28.png,boxes/28.png
29,images/29.png,boxes/29.png
30,images/30.png,boxes/30.png
31,images/31.png,boxes/31.png
32,images/32.png,boxes/32.png
